step,waiting_time_avg,queue_length_max,throughput,occupancy_avg,speed_avg,green_phase_index,co2_mg,controller_mode
0,0.0,4,0,0.0,0.0,0,6084.0,adaptive
1,0.0,0,0,0.0,1.943,0,13791.867,adaptive
2,0.0,0,0,0.0,3.918,0,16387.894,adaptive
3,0.0,2,0,0.0,4.179,0,25372.521,adaptive
4,0.0,2,0,0.0,4.677,0,34438.32,adaptive
5,0.0,0,0,0.0,6.531,0,39893.313,adaptive
6,0.0,2,0,0.0,6.614,0,43601.465,adaptive
7,0.0,0,0,0.0,8.001,0,39908.239,adaptive
8,0.0,2,0,0.0,7.593,0,41822.167,adaptive
9,0.0,0,0,0.0,8.68,0,44156.621,adaptive
10,0.0,0,0,0.0,9.788,0,49912.233,adaptive
11,0.0,0,0,0.0,10.219,0,30739.78,adaptive
12,0.0,4,0,0.0,7.969,0,36579.731,adaptive
13,0.0,0,0,0.0,8.54,0,36646.248,adaptive
14,0.0,0,0,0.0,9.508,0,58982.815,adaptive
15,0.0,0,0,0.0,9.999,0,40666.357,adaptive
16,0.0,2,0,0.0,9.361,0,49500.124,adaptive
17,0.0,0,0,0.0,9.933,0,51319.758,adaptive
18,0.0,2,0,0.0,9.528,0,62241.383,adaptive
19,0.0,0,0,0.0,10.061,0,53940.186,adaptive
20,0.0,2,0,0.0,9.482,0,53895.124,adaptive
21,0.0,0,0,0.0,9.936,0,54790.885,adaptive
22,0.0,0,0,0.0,10.375,0,57098.179,adaptive
23,0.0,0,0,0.0,10.84,0,62068.44,adaptive
24,0.0,4,0,0.0,9.33,0,54735.125,adaptive
25,0.0,0,0,0.0,9.802,0,63611.868,adaptive
26,0.0,0,0,0.0,10.17,0,62214.128,adaptive
27,0.0,2,0,0.0,9.977,0,83794.564,adaptive
28,0.0,2,0,0.0,9.859,0,86125.864,adaptive
29,0.0,0,0,0.0,10.175,0,66991.679,adaptive
30,0.0,2,0,0.0,10.014,0,89077.69,adaptive
31,0.0,0,0,0.0,10.3,0,68031.793,adaptive
32,0.0,2,0,0.0,9.94,0,73726.234,adaptive
33,0.0,0,0,0.0,10.313,0,82575.193,adaptive
34,0.0,0,0,0.0,10.633,0,83034.529,adaptive
35,0.0,0,0,0.0,10.973,0,85486.912,adaptive
36,0.0,4,0,0.0,9.847,0,70664.843,adaptive
37,0.0,0,0,0.0,10.354,0,104460.649,adaptive
38,0.0,0,0,0.0,10.624,0,89522.928,adaptive
39,0.0,0,0,0.0,11.078,0,104733.252,adaptive
40,0.0,2,0,0.0,10.744,0,92485.05,adaptive
41,0.0,0,0,0.0,11.028,0,94788.103,adaptive
42,0.0,2,0,0.0,10.688,0,93112.067,adaptive
43,0.0,0,0,0.0,10.835,0,78647.026,adaptive
44,0.0,2,0,0.0,10.612,0,109587.936,adaptive
45,0.0,0,0,0.0,10.646,0,83961.141,adaptive
46,0.0,0,0,0.0,10.873,0,112044.424,adaptive
47,0.0,0,0,0.0,10.994,0,95597.812,adaptive
48,0.021,5,0,0.0,10.207,0,110215.82,adaptive
49,0.042,1,0,0.0,10.384,0,106562.048,adaptive
50,0.062,1,0,0.0,10.454,0,91808.007,adaptive
51,0.08,3,0,0.0,10.122,1,95589.869,adaptive
52,0.115,5,0,0.0,9.55,1,111428.632,adaptive
53,0.173,3,0,0.0,9.798,1,124352.033,adaptive
